tconst,primaryTitle,isAdult,startYear,runtimeMinutes
tt0070596,Socialist Realism,0,2023,78.0
tt0164115,Nine Ball,0,2023,85.0
tt0202523,The Perfect Shadow,0,2024,82.0
tt0251151,Jait Re Jait,0,2024,96.0
tt0287075,Universal Groove,0,2024,74.0
tt0327785,The Killer's Game,0,2024,104.0
tt0368133,The Promise of Perfume,0,2024,57.0
tt0439572,The Flash,0,2023,144.0
tt0451272,Nefarious,0,2024,85.0
tt0453528,On Moral Grounds,0,2024,74.0
tt0762118,Moe,0,2023,80.0
tt0875612,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,0,2024,96.0
tt10009608,Maybe It's True What They Say About Us,0,2024,94.0
tt10013512,The Problem with People,0,2024,102.0
tt10013588,September,0,2023,82.0
tt1001520,The Last Voyage of the Demeter,0,2023,118.0
tt10023266,The Dog Thief,0,2024,90.0
tt10037498,Power Alley,0,2023,99.0
tt10042482,Falling Stars,0,2023,80.0
tt10044632,The Probe,0,2024,58.0
tt10047464,The Christmas Spirit,0,2023,89.0
tt10065936,Fear and Love: The Story of the Exorcist,0,2024,61.0
tt10073640,The Caravan,0,2023,77.0
tt10077090,Verano No Miente,0,2023,120.0
tt10079652,Art of Eight Limbs,0,2024,101.0
tt10080110,Lady Scorpions,0,2024,101.0
tt10080130,The Lockdown,0,2024,117.0
tt10087728,Phalana Abbayi Phalana Ammayi,0,2023,126.0
tt10092170,The Line,0,2023,100.0
tt10092698,All Fun and Games,0,2023,76.0
tt10094388,The Windigo,0,2024,85.0
tt10095328,The Undertaker's Wife,0,2024,96.0
tt10097442,I Believe,0,2023,94.0
tt10098448,Jesus Revolution,0,2023,120.0
tt10121904,Record Without Words,0,2023,91.0
tt10127964,Perspectiva,0,2024,90.0
tt10128846,Megalopolis,0,2024,138.0
tt10133702,Pelikan Blue,0,2023,79.0
tt10137324,Der Spiegel,0,2023,96.0
tt10140990,Mindgame,0,2023,138.0
tt10147370,Pet Farm,0,2024,83.0
