nconst,primaryName
nm0000019,Federico Fellini
nm0000095,Woody Allen
nm0000099,Patricia Arquette
nm0000101,Dan Aykroyd
nm0000108,Luc Besson
nm0000110,Kenneth Branagh
nm0000118,John Carpenter
nm0000123,George Clooney
nm0000126,Kevin Costner
nm0000136,Johnny Depp
nm0000141,David Duchovny
nm0000142,Clint Eastwood
nm0000150,Michael J. Fox
nm0000153,Gina Gershon
nm0000160,Ethan Hawke
nm0000165,Ron Howard
nm0000175,Stephen King
nm0000182,Jennifer Lopez
nm0000184,George Lucas
nm0000185,Dolph Lundgren
nm0000212,Meg Ryan
nm0000217,Martin Scorsese
nm0000218,Kristin Scott Thomas
nm0000230,Sylvester Stallone
nm0000231,Oliver Stone
nm0000241,Jean-Claude Van Damme
nm0000247,John Woo
nm0000255,Ben Affleck
nm0000264,Pedro Almodóvar
nm0000285,Alec Baldwin
nm0000318,Tim Burton
nm0000338,Francis Ford Coppola
nm0000341,Michael Crichton
nm0000343,David Cronenberg
nm0000365,Julie Delpy
nm0000382,Atom Egoyan
nm0000399,David Fincher
nm0000474,Michael Keaton
nm0000500,Richard Linklater
nm0000514,Michael Madsen
nm0000519,David Mamet
nm0000520,Michael Mann
nm0000530,Andrew McCarthy
nm0000567,George Orwell
nm0000576,Sean Penn
nm0000590,Edgar Allan Poe
nm0000591,Roman Polanski
nm0000601,Harold Ramis
nm0000631,Ridley Scott
nm0000632,Jerry Seinfeld
nm0000636,William Shakespeare
nm0000647,Alan Smithee
nm0000672,Meg Tilly
nm0000683,Gore Vidal
nm0000694,Wim Wenders
nm0000709,Robert Zemeckis
nm0000729,Casey Affleck
nm0000780,Denys Arcand
nm0000801,Olivier Assayas
nm0000806,Bille August
nm0000807,Jane Austen
nm0000809,Daniel Auteuil
nm0000850,Clive Barker
nm0000852,Jean-Marc Barr
nm0000853,Bruno Barreto
nm0000875,L. Frank Baum
nm0000876,Noah Baumbach
nm0000972,Tinto Brass
nm0000985,James L. Brooks
nm0001024,Nick Cassavetes
nm0001053,Ethan Coen
nm0001068,Sofia Coppola
nm0001094,Roald Dahl
nm0001110,Embeth Davidtz
