tconst,averageRating,numVotes
tt0070596,6.9,183
tt0164115,6.2,54
tt0202523,8.3,12
tt0251151,8.4,191
tt0287075,5.5,175
tt0327785,5.8,19357
tt0368133,6.6,8
tt0439572,6.6,240817
tt0451272,7.2,58
tt0453528,8.4,7
tt0762118,4.1,33
tt0875612,7.3,12
tt10009608,6.3,128
tt10013512,5.7,629
tt10013588,6.0,37
tt1001520,6.1,67285
tt10023266,7.2,140
tt10037498,6.7,340
tt10042482,5.0,390
tt10044632,7.3,15
tt10047464,4.9,135
tt10065936,8.5,63
tt10073640,8.3,14
tt10077090,5.4,11
tt10079652,4.0,342
tt10080110,3.6,386
tt10080130,4.3,643
tt10087728,4.9,300
tt10092170,6.1,1186
tt10092698,4.3,4088
tt10094388,4.6,733
tt10095328,7.6,19
tt10097442,7.0,64
tt10098448,7.1,16102
tt10121904,6.0,56
tt10127964,6.2,100
tt10128846,4.7,39175
tt10133702,8.0,1090
tt10137324,5.5,26
tt10140990,9.1,756
tt10147370,7.4,38
tt10150908,9.0,28
tt10151854,5.9,141306
tt10152488,5.7,444
tt10155748,5.0,916
tt10160976,5.6,75556
tt10165952,5.4,114
tt10171472,6.3,6926
tt10172266,7.0,59976
tt10172522,8.5,38
tt10174052,2.0,163
tt10179362,8.4,13
tt10193608,4.8,20
tt10198368,9.2,50
tt10199070,7.8,20
tt10210064,3.8,625
tt10211984,3.7,181
tt10212042,9.2,41
tt10214548,6.7,8
tt10225378,4.7,527
tt10228618,4.7,88
tt10229260,7.1,12
tt10235688,5.5,836
tt10236164,7.5,17226
tt10237478,8.0,255
tt10239112,7.9,63
tt10241130,8.7,28
tt10243672,7.1,10788
tt10245072,5.6,37765
tt10261206,7.1,36
tt10264442,7.1,7
tt10266862,8.0,29
tt10267770,5.0,15
tt10274544,6.2,38
tt10275534,6.6,54257
tt10276482,5.9,18323
tt10279460,7.1,343
tt10279472,3.7,10831
tt10284944,4.7,1795
tt10294634,7.5,68
tt10303842,6.3,7
tt10304114,7.2,13
tt10305256,3.8,8
tt10307870,6.4,95
tt10314366,5.2,75
tt10323412,7.7,176
tt10323428,3.4,114
tt10334160,6.3,411
tt10334636,3.0,151
tt10338118,8.6,51
tt10338176,4.8,214
tt10340360,4.4,155
tt10342364,5.3,113
tt10345346,6.1,51
tt10345546,3.4,1088
tt10346834,5.6,39
tt10347354,9.4,57
